Time,AC Battery Power (kW),Grid Meter (kW)
2020-08-13 00:00:00,0.0,-17.12225825
2020-08-13 00:30:00,0.0,-17.12225825
2020-08-13 01:00:00,0.0,-16.06713714
2020-08-13 01:30:00,0.0,-16.06713714
2020-08-13 02:00:00,0.0,-14.96242609
2020-08-13 02:30:00,0.0,-14.96242609
2020-08-13 03:00:00,0.0,-16.12435628
2020-08-13 03:30:00,0.0,-16.12435628
2020-08-13 04:00:00,0.0,-17.34732024
2020-08-13 04:30:00,0.0,-17.34732024
2020-08-13 05:00:00,0.0,-18.40701888
2020-08-13 05:30:00,0.0,-18.40701888
2020-08-13 06:00:00,0.0,-11.8230021
2020-08-13 06:30:00,0.0,-11.8230021
2020-08-13 07:00:00,0.0,-4.67552165
2020-08-13 07:30:00,0.0,-4.67552165
2020-08-13 08:00:00,0.0,5.710013349999999
2020-08-13 08:30:00,0.0,5.8900133499999985
2020-08-13 09:00:00,0.0,8.23931337
2020-08-13 09:30:00,0.0,8.23931337
2020-08-13 10:00:00,0.0,12.675643719999998
2020-08-13 10:30:00,0.0,12.675643719999998
2020-08-13 11:00:00,-7.165281424210531,2.3673983357894697
2020-08-13 11:30:00,-9.53267976,0.0
2020-08-13 12:00:00,-10.392981120000004,0.0
2020-08-13 12:30:00,-10.392981120000004,0.0
2020-08-13 13:00:00,-5.764119780000002,0.0
2020-08-13 13:30:00,-5.764119780000002,0.0
2020-08-13 14:00:00,-3.3886553500000005,0.0
2020-08-13 14:30:00,-3.3886553500000005,0.0
2020-08-13 15:00:00,5.718488051975614e-15,-4.639999999999994
2020-08-13 15:30:00,0.0,-4.64
2020-08-13 16:00:00,0.0,-12.099515539999999
2020-08-13 16:30:00,0.0,-12.099515539999999
2020-08-13 17:00:00,5.54375,-15.456249999999999
2020-08-13 17:30:00,5.54375,-15.456249999999999
2020-08-13 18:00:00,6.543749999999998,-15.456249999999999
2020-08-13 18:30:00,6.543749999999998,-15.456249999999999
2020-08-13 19:00:00,4.543750000000002,-15.456249999999999
2020-08-13 19:30:00,4.543750000000002,-15.456249999999999
2020-08-13 20:00:00,8.54375,-15.456249999999999
2020-08-13 20:30:00,8.54375,-15.456249999999999
2020-08-13 21:00:00,0.0,-17.12225825
2020-08-13 21:30:00,0.0,-17.12225825
2020-08-13 22:00:00,0.0,-16.06713714
2020-08-13 22:30:00,0.0,-16.06713714
2020-08-13 23:00:00,0.0,-14.962426089999997
2020-08-13 23:30:00,0.0,-14.962426089999997
